"","Day","AGE","Price","Delivery time"
"1",21,33,72.106824925816,4
"2",20,35,3270.53010858835,11
"3",19,50,7989.63212692117,49
"4",18,56,22096.6405552801,39
"5",26,36,46575.1710461081,44
"6",21,54,4348.24234945706,15
"7",13,73,355.344,4
"8",28,49,8846.38373822509,83
"9",2,40,86483.27,17
"10",29,54,3944.95488349033,84
"11",24,55,533.851,4
"12",12,53,5956.90084283589,99
"13",22,29,36891.5443728309,34
"14",8,85,1409.90918065153,14
"15",20,72,1930.13770977295,14
"16",24,37,29651.7203767972,52
"17",5,79,380.888,5
"18",9,24,1770.37778879524,43
"19",10,42,287.408,5
"20",26,28,29172.3252354983,42
"21",7,40,542.6385,6
"22",27,96,2182.76307996051,11
"23",23,44,222.75,5
"24",16,42,270.200297471492,18
"25",25,39,417.206742687159,17
"26",1,66,4572.21964461994,13
"27",20,66,948.470004957858,18
"28",10,25,198.883490332177,17
"29",25,78,578.73,5
"30",30,60,12847.0798215171,39
"31",14,30,915.617253346554,18
"32",23,47,451.892185954501,5
"33",30,70,13971.9236489836,38
"34",17,32,93773.41,15
"35",27,38,2896.86861675756,56
"36",18,42,2667.75074037512,13
"37",9,27,513.25433812593,19
"38",22,51,538.266732771443,18
"39",10,79,153.976,6
"40",15,64,144.7875,5
"41",1,39,975.483391175012,114
"42",21,56,18842.7040158651,53
"43",25,39,2954.15597235933,18
"44",28,77,8868.03420922162,115
"45",7,38,62677.273,15
"46",4,55,3686,21
"47",30,81,4700.35538005923,15
"48",6,28,247.12245909767,17
"49",17,38,1972.14215202369,13
"50",1,48,3901.41164856861,13
"51",27,71,398.197322756569,16
"52",22,57,429.574678536103,4
"53",28,25,27709.8438274665,35
"54",3,89,219.821,4
"55",15,47,6694.31730292514,96
"56",21,39,27307.37,20
"57",12,35,31828.2697074864,25
"58",27,25,564.229053049083,23
"59",25,58,62963.618,20
"60",28,98,480.474777448071,5
"61",24,73,929.460585027268,20
"62",10,65,794.393653941497,18
"63",3,22,8575.20475954388,37
"64",15,67,30415.1710461081,35
"65",25,36,41841.2989588498,53
"66",27,67,751.228061477442,18
"67",5,55,13211.0867625186,39
"68",8,70,2187.08378780367,90
"69",21,46,8536.89638076351,98
"70",6,66,4447.57996051333,16
"71",12,65,529.308874566187,17
"72",29,86,2821.81539980257,13
"73",5,84,3498,14
"74",28,90,4759.49851924975,18
"75",13,100,355.3875,5
"76",6,40,3440.07305034551,16
"77",21,76,513.084,5
"78",29,83,1379.27147087858,14
"79",29,64,47580.1715418939,36
"80",3,29,41489.116013882,34
"81",19,75,250.370919881306,5
"82",12,70,230.052,5
"83",26,32,351,5
"84",24,46,15740.4382746653,53
"85",18,60,6099.02231036192,100
"86",9,69,154.4535,5
"87",6,37,910.451165096678,17
"88",1,76,326.838278931751,5
"89",22,44,271.082,5
"90",4,42,348.344213649852,5
"91",8,27,710.704015865146,17
"92",9,32,430.686,5
"93",15,32,666.33019335647,18
"94",20,80,4883.91707798618,18
"95",5,60,174,7
"96",11,37,4117.2657411998,83
"97",21,63,236.691,5
"98",3,30,8839.26623698562,42
"99",23,83,2224.18262586377,18
"100",10,86,4767.13882002975,116
"101",1,96,1422.11204759544,83
"102",9,65,4378,11
"103",25,74,331.491097922849,4
"104",25,53,4991.53504442251,13
"105",16,21,153.771513353116,6
"106",20,98,43299.3058998513,49
"107",25,31,2726.35101636093,70
"108",27,51,1107.54883490332,86
"109",2,92,547.2215,5
"110",8,51,24396.3748140803,31
"111",23,45,5081.51809618245,96
"112",15,33,23317.5825483391,47
"113",23,32,16153.972235994,50
"114",15,47,7228.5820525533,95
"115",30,98,129.664,5
"116",14,31,322,5
"117",21,85,162.080317302925,20
"118",4,66,350.173525037184,18
"119",23,26,8378.15171046108,35
"120",24,33,1303.64600892414,104
"121",1,28,8143.03520079326,105
"122",28,58,177.73590504451,6
"123",19,45,28450.105,13
"124",4,56,2458.57058242843,12
"125",2,65,155.153693604363,20
"126",6,77,2738.50542941757,12
"127",4,62,3824.73938795656,13
"128",26,19,3616.46150049358,15
"129",8,57,281.138971315529,6
"130",16,57,4296.50049358342,19
"131",1,75,344.829376854599,5
"132",15,36,1837.44967773922,94
"133",29,56,6355.14923153198,95
"134",14,35,123.098,5
"135",24,70,37069.0530490828,42
"136",26,55,212.314540059347,4
"137",20,63,39404.03321765,35
"138",25,96,909.6980664353,18
"139",16,34,5559.22657411998,91
"140",18,40,4311.13634110064,90
"141",8,82,492.293188548865,17
"142",28,25,7050.95537927615,35
"143",24,36,706.747645017353,17
"144",14,58,1830.12989588498,87
"145",19,23,7005.47149231532,99
"146",30,85,174.344213649852,5
"147",28,48,29539.4650470997,60
"148",25,72,3020.95984134854,114
"149",4,51,193.483,5
"150",24,47,31155.4000991572,50
"151",5,86,47552.4600892414,29
"152",30,87,369,3
"153",17,65,353.174579624135,7
"154",29,35,24025.6817055032,39
"155",5,39,33533.6172533466,47
"156",22,59,372.69,5
"157",23,51,8783.38423401091,97
"158",23,49,6423.18294496777,82
"159",24,71,295,6
"160",21,27,46738.5057015369,37
"161",26,80,224.111056023798,19
"162",14,46,431.852,4
"163",20,43,10089.9256321269,34
"164",17,75,4886.62783810464,10
"165",11,76,2110,14
"166",26,100,2826.20730503455,18
"167",7,23,277.137332672286,18
"168",14,60,2622,18
"169",28,55,7579.7560733763,108
"170",28,50,40120.5007436787,48
"171",8,33,398.95,5
"172",21,69,265.406,5
"173",18,82,59443.875,14
"174",23,91,3660.94274432379,17
"175",24,72,267.397124442241,18
"176",29,82,4677.06416584403,10
"177",28,38,234.088,4
"178",30,63,3654,18
"179",12,28,3382.69905800694,88
"180",1,56,7802.86663361428,34
"181",22,59,862.407040158652,19
"182",5,86,240.618,5
"183",26,50,291.601,4
"184",21,46,28005.4070401587,42
"185",2,64,508.508180466039,19
"186",21,54,250.123946455131,19
"187",23,94,4303.48667324778,11
"188",21,80,173.978,6
"189",26,45,4607.1678183613,8
"190",21,39,474.940009915716,20
"191",2,73,175.086547972305,4
"192",4,77,141.789317507418,7
"193",7,83,76688.775,15
"194",23,56,64.9678536102868,5
"195",14,91,697,12
"196",29,56,22531.0887456619,36
"197",1,47,45347.444719881,30
"198",1,53,7404.66931085771,81
"199",28,36,71858.676,18
"200",22,22,250,5
"201",1,37,2847,9
"202",24,58,3507.79812438302,21
"203",1,70,1633.385982231,19
"204",27,72,442.874381800198,6
"205",11,59,3467.28775913129,21
"206",1,26,28873.1462568171,47
"207",29,50,2158.51628825271,17
"208",14,102,880.436291522062,17
"209",19,50,25434.8953891919,35
"210",15,50,10797.7005453644,31
"211",18,79,2215.21816386969,16
"212",6,27,111.1646884273,4
"213",16,59,1360.28381046397,20
"214",18,59,3667.1076011846,13
"215",10,75,42122.1170054536,45
"216",1,30,633.627664848785,18
"217",13,96,2680,13
"218",13,27,885.438770451165,17
"219",24,66,118.941147378833,6
"220",7,65,478.676,5
"221",11,73,444.4,5
"222",13,43,1611.61006910168,19
"223",3,49,4597.63609320773,119
"224",11,32,128.936201780415,4
"225",8,43,2046.95064165844,15
"226",29,84,446,6
"227",19,44,1785.65195835399,106
"228",14,59,1511.75814412636,14
"229",23,74,2337.93406048587,91
"230",18,35,2374.35200793257,34
"231",11,29,592.293505205751,17
"232",1,45,421.416419386746,4
"233",7,62,263,5
"234",30,41,1759.77295162883,15
"235",26,29,286.14179474467,17
"236",6,25,392.193867457962,4
"237",9,48,10430.9370352008,37
"238",2,43,46106.0109072881,45
"239",14,53,4676.4304047384,17
"240",29,31,172.255192878338,5
"241",2,22,277.137332672286,17
"242",9,49,56736.104,13
"243",2,82,1297.43336623889,16
"244",7,32,10888.9261279127,38
"245",20,52,544.149727317799,19
"246",1,30,631.312840852752,18
"247",30,57,4419.25765054294,10
"248",14,26,767.719644619941,8
"249",6,34,4906.57699901283,11
"250",25,49,5652.80118988597,80
"251",15,30,1153.57354392892,20
"252",12,85,3199.58552305404,79
"253",18,84,2650.80947680158,15
"254",7,64,24009.0352007933,45
"255",15,37,8312.11898859693,77
"256",2,49,138.3015,5
"257",16,42,390.439,5
"258",7,65,12042.5756073376,37
"259",17,23,1784.923988154,15
"260",19,31,376.5435,5
"261",24,83,217.215171046108,19
"262",9,88,209.5875,4
"263",27,32,187.185423896877,20
"264",29,47,1958.03307008885,14
"265",17,83,861.426871591472,17
"266",24,78,162.932,5
"267",17,86,3714.16584402764,11
"268",17,58,48413.2622706991,52
"269",15,81,2663.36821322804,15
"270",12,31,3495.73227565692,89
"271",10,41,4100.74333662389,11
"272",15,62,28313.8572136837,57
"273",28,58,42491.298,14
"274",24,39,6283.43629152206,89
"275",5,72,10748.1725334655,45
"276",24,46,186.183976261128,6
"277",20,67,487.481701285856,6
"278",8,85,5932.94000991572,87
"279",27,38,13876.8220128904,25
"280",22,46,8270.74070401587,106
"281",30,68,146,4
"282",7,91,190.444,5
"283",29,37,7993.91869112543,99
"284",20,40,148.073376301438,83
"285",3,95,31175.7035200793,50
"286",9,53,573.358,5
"287",2,35,32845.276152702,51
"288",18,62,1974.17374136229,18
"289",22,69,49305.459,16
"290",20,29,48993.5547843332,54
"291",4,31,64766.682,15
"292",23,54,788.170550322261,18
"293",25,60,428.575667655786,4
"294",27,68,26974.8289538919,32
"295",25,80,537.852,5
"296",23,27,447.5568743818,5
"297",3,81,95991.236,17
"298",26,89,4648.40671273445,14
"299",26,76,4272.77788746298,17
"300",28,84,2345.84155972359,12
"301",21,60,101.199802176063,6
"302",6,84,292.757,6
"303",14,83,8876.3986117997,80
"304",29,51,2682.32920178483,95
"305",16,43,312.2445,4
"306",19,45,292.757,5
"307",22,44,631.437808489635,14
"308",26,31,41651.2592959841,37
"309",28,94,464.230044620724,19
"310",27,76,6971.97124442241,108
"311",10,65,2248.11403073872,79
"312",9,55,379.749752720079,5
"313",7,55,283.559841740851,5
"314",14,46,3359.01875616979,17
"315",22,32,338.67030242935,19
"316",15,77,301.595450049456,6
"317",7,71,4184.93336623889,12
"318",14,23,5045.50024789291,96
"319",26,38,4932.48636588994,34
"320",16,54,854.423401090729,19
"321",3,57,834.238968765493,16
"322",18,62,3800.36426456071,18
"323",12,25,394.195339613287,17
"324",8,93,945.533070088845,13
"325",28,79,243.651,5
"326",13,51,4537.2690029615,13
"327",27,49,46311.1670798215,35
"328",17,50,886.316311353495,20
"329",25,33,817.405057015369,19
"330",12,32,9460.68815071889,54
"331",1,53,2190.83514313919,20
"332",29,28,463.541048466864,6
"333",10,58,52.9737883283877,6
"334",1,77,155.845697329377,4
"335",16,29,826.859692612791,16
"336",15,55,2552.4777887463,18
"337",17,81,590.424,5
"338",19,52,2433.1865745311,17
"339",8,90,457.876,4
"340",27,23,252.87487636004,4
"341",30,93,557.796,5
"342",22,74,1904.23297137216,8
"343",14,76,30329.8215171046,25
"344",3,38,137.475458601884,17
"345",5,62,45301.6757560734,45
"346",25,25,318.414476945959,17
"347",2,68,4444.38104639684,12
"348",14,55,41223.5716410511,26
"349",20,93,2792.24086870681,17
"350",24,39,2690.34402764067,17
"351",16,41,612.606841844323,19
"352",9,70,20716.4427367377,33
"353",7,44,3312.9201784829,52
"354",16,30,509.504709965295,18
"355",29,62,197,6
"356",20,62,389.230009871668,17
"357",19,80,8973.86415468518,101
"358",15,28,538.391670798215,116
"359",7,45,4402.73543928924,19
"360",22,35,992.432325235498,18
"361",18,34,6956.63262270699,52
"362",26,37,33214.8735746158,40
"363",7,44,154.683,6
"364",25,61,7723.7124442241,92
"365",21,64,985.488349033218,17
"366",10,58,36925.3088745662,35
"367",13,56,2351,18
"368",29,81,337.34,5
"369",20,74,669.331680713932,18
"370",24,70,426.36646884273,4
"371",1,75,158.6485,5
"372",7,53,330.654437283094,18
"373",6,20,247.754698318497,7
"374",30,95,6072.97768963808,117
"375",28,23,473.872087258304,20
"376",12,49,34128.607833416,35
"377",5,60,237.9375,5
"378",9,24,533.26425384234,18
"379",17,44,362.717897868121,88
"380",9,37,887.439762022806,17
"381",8,50,4939.44769459593,91
"382",14,77,1417.59921026654,18
"383",3,34,25611.9623202776,45
"384",13,37,250,5
"385",26,63,96997.37,16
"386",28,26,37006.084,17
"387",10,53,1791.56762092794,18
"388",9,45,1768.37759131293,9
"389",28,87,1324.06712734452,15
"390",21,65,250.123946455131,17
"391",5,43,7337.59543877045,106
"392",3,40,58489.761,22
"393",21,20,751.228061477442,19
"394",13,49,680.337134357957,19
"395",3,33,34918.5647000496,44
"396",15,39,4204.16460089241,86
"397",25,87,392.268,5
"398",7,58,278.586053412463,5
"399",29,68,140.39,5
"400",13,47,3740.85374318294,86
"401",8,50,1704.05404065444,103
"402",15,29,4655,20
"403",27,37,494.73293768546,4
"404",25,83,584.5005,5
"405",24,30,985.37729300942,17
"406",15,35,346.143632773939,19
"407",22,70,4018.0157946693,13
"408",15,84,354.824777887463,16
"409",19,79,422.626112759644,5
"410",30,51,76188.6,14
"411",18,44,507.251363411006,18
"412",14,56,34697.8006941002,45
"413",1,31,153.9,5
"414",11,54,442,10
"415",10,26,3341.65592464056,106
"416",16,65,291.744,5
"417",25,58,1062,10
"418",16,38,35052.6782350025,43
"419",20,46,272.134853743183,18
"420",23,27,755.006910167818,19
"421",23,28,574.284581060982,17
"422",5,78,249.198,5
"423",21,67,1888.39091806515,15
"424",6,87,4278.16732477789,13
"425",12,46,3172,13
"426",4,71,258.688,4
"427",25,41,2074.86673247779,12
"428",19,64,507.513,4
"429",3,46,129.57560733763,17
"430",23,77,438.774,5
"431",20,74,1266.12240868707,20
"432",30,40,5415.71888943976,81
"433",21,86,3411.25172754195,12
"434",22,83,7382.96479920674,98
"435",16,66,225,5
"436",8,35,2128.84304047384,12
"437",19,69,277.75,5
"438",25,96,463.541048466864,5
"439",3,68,3754.43237907206,14
"440",28,31,40003.674,20
"441",20,61,29728.4457114527,43
"442",18,43,118.4625,5
"443",29,53,13481.685,16
"444",8,78,232.458951533136,7
"445",24,35,8548.97669806644,93
"446",11,47,73904.428,17
"447",11,30,351.780355380059,11
"448",13,24,8330.81209717402,100
"449",13,71,42278.3931581557,38
"450",10,47,641.534457114527,18
"451",1,46,37817.9970252851,48
"452",10,54,314.844213649852,5
"453",23,41,7373.12840852752,90
"454",2,28,539.600396628656,19
"455",24,39,43281.2662369856,50
"456",15,91,6417.87010411502,112
"457",26,67,573.237,5
"458",24,84,4640.60315893386,16
"459",30,30,569.282102131879,19
"460",10,39,30648.45,16
"461",7,41,363.179970252851,19
"462",3,85,4633.53652517275,16
"463",18,63,897.886969397828,11
"464",1,71,3294.93780848963,23
"465",6,75,445.660237388724,7
"466",12,80,468.872,5
"467",9,74,3761.69348469891,18
"468",22,35,1083.70384995064,11
"469",13,63,1845.51826258638,15
"470",15,71,4816.85686080948,18
"471",13,41,638.522558254834,19
"472",12,81,76023.957,20
"473",28,65,19786.8983639068,53
"474",21,91,4850.40473840079,17
"475",21,56,409.252,5
